STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,INDICATOR_TYPE,Indicator type,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CHL,Chile,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2022-Q4,,21223156,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CHL,Chile,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,4520631,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CHL,Chile,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,21226938,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CHL,Chile,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,4455863,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CAN,Canada,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,16713879,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CAN,Canada,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2022-Q4,,16374501,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CAN,Canada,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,33136399,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CAN,Canada,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2022-Q4,,33130696,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CAN,Canada,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,16833647,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CAN,Canada,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,34573476,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,BEL,Belgium,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,11219308,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,BEL,Belgium,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2022-Q4,,11060512,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,BEL,Belgium,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,5118844,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,BEL,Belgium,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,11573705,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,BEL,Belgium,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,5077755,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,AUT,Austria,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,2671802,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,HUN,Hungary,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,8473508,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,GRC,Greece,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,4503575,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,GRC,Greece,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2022-Q4,,4485315,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,GRC,Greece,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,9612244,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,GRC,Greece,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,4505996,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,GRC,Greece,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,9524151,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,DEU,Germany,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,38082223,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,DEU,Germany,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2022-Q4,,37518124,,A,Normal value,0,Units,0,Zero
